step,train_loss,val_loss,lr,elapsed_s
1,10.9946,10.8478,6.00e-06,3.4
250,7.5592,6.9313,6.00e-04,49.7
500,6.7131,6.6547,5.95e-04,96.2
750,6.5211,6.5125,5.83e-04,142.9
1000,6.3765,6.4014,5.64e-04,189.5
1250,6.2531,6.2857,5.39e-04,237.1
1500,6.1387,6.1736,5.08e-04,285.0
1750,6.0450,6.0767,4.73e-04,332.5
2000,5.9556,5.9886,4.33e-04,381.2
2250,5.8544,5.8896,3.91e-04,428.9
2500,5.7684,5.8189,3.48e-04,478.4
2750,5.6836,5.7455,3.04e-04,526.1
3000,5.6238,5.6924,2.60e-04,573.6
3250,5.5669,5.6361,2.19e-04,619.4
3500,5.5295,5.5898,1.80e-04,667.2
3750,5.4903,5.5447,1.45e-04,714.5
4000,5.4269,5.5056,1.16e-04,762.2
4250,5.3937,5.4752,9.19e-05,809.1
4500,5.3629,5.4518,7.43e-05,854.3
4750,5.3468,5.4304,6.36e-05,898.7
5000,5.2975,5.4151,6.00e-05,943.6
