step,train_loss,val_loss,lr,elapsed_s
1,10.9751,10.8372,6.00e-06,5.8
250,7.5231,6.8666,6.00e-04,86.5
500,6.6509,6.5932,5.95e-04,167.3
750,6.4479,6.4370,5.83e-04,250.9
1000,6.2927,6.3311,5.64e-04,334.7
1250,6.1914,6.2402,5.39e-04,418.2
1500,6.1052,6.1326,5.08e-04,498.7
1750,6.0049,6.0228,4.73e-04,583.6
2000,5.9105,5.9469,4.33e-04,665.9
2250,5.8180,5.8604,3.91e-04,749.7
2500,5.7410,5.7959,3.48e-04,832.2
2750,5.6637,5.7337,3.04e-04,913.4
3000,5.6124,5.6929,2.60e-04,995.0
3250,5.5648,5.6410,2.19e-04,1075.3
3500,5.5292,5.5993,1.80e-04,1155.7
3750,5.4963,5.5559,1.45e-04,1236.6
4000,5.4367,5.5265,1.16e-04,1316.3
4250,5.4072,5.4980,9.19e-05,1396.6
4500,5.3776,5.4766,7.43e-05,1478.1
4750,5.3623,5.4582,6.36e-05,1558.7
5000,5.3138,5.4439,6.00e-05,1640.4
